componente,ambito,concepto,porcentaje,pais,declarado,programado
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,ar,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,bo,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,br,1,0
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,cl,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,co,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,cr,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,cu,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,ec,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,gt,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,hn,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,mx,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,ni,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,pa,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,py,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,pe,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,do,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,sv,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,uy,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,ve,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,ar,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,bo,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,br,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,cl,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,co,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,cr,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,cu,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,ec,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,gt,1,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,hn,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,mx,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,ni,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,pa,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,py,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,pe,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,do,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,sv,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,uy,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,ve,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,ar,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,bo,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,br,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,cl,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,co,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,cr,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,cu,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,ec,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,gt,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,hn,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,mx,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,ni,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,pa,0,0
