cod_pais,pais,dato_pais_grado_3,dato_pais_grado_6,dato_region_grado_3,dato_region_grado_6,letra_magn,letra_ord,materia,nombre_categoria,descripcion_categoria,ej_3grado,ej_6grado,region
ar,Argentina,,0.00,,16.00,1.00,A,Ciencias,"Ciencia, tecnología y sociedad","Refiere a la ciencia y la tecnología como construcciones humanas influenciadas por el contexto sociocultural, político y económico. Incluye temas relativos al impacto de la ciencia y la tecnología en la salud y en el medio ambiente.",,No hay ejemplos en el currículo de este país.,Sudamérica
ar,Argentina,,13.00,,17.00,1.00,B,Ciencias,Cuerpo humano y salud,"Conocimiento parcial del cuerpo humano, y comprensión de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de órganos; conocimiento sobre la importancia de la salud para el bienestar general.",,El reconocimiento de la importancia de la prevención de enfermedades relacionadas con los sistemas de órganos. (6° grado),Sudamérica
ar,Argentina,,20.00,,14.00,1.00,C,Ciencias,Ecología y medioambiente,"Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecológico en relación con los recursos naturales y su importancia para la vida en el planeta, además de la noción de cadena trófica, su dinámica general y relevancia.",,"Modelos de nutrición en un ecosistema, relaciones que se establecen entre los organismos representativos de cada modelo. Relaciones tróficas y su representación gráfica mediante redes y cadenas.",Sudamérica
ar,Argentina,,27.00,,12.00,1.00,D,Ciencias,La energía y sus manifestaciones,Conocimientos de la noción de energía. Incluye el calor como una transferencia de energía; manifestaciones de energía en el planeta; y la noción de fuerza.,,El reconocimiento del calor como una forma de transferencia de energía. (6° grado),Sudamérica
ar,Argentina,,13.00,,11.00,1.00,E,Ciencias,La materia y sus transformaciones,"Conocimientos de la estructura atómica y molecular y algunos estados de agregación.Clasificación de los materiales en sustancias puras o mezclas, y descripción de algunos métodos de separación.",,,Sudamérica
ar,Argentina,,20.00,,18.00,1.00,F,Ciencias,La tierra y el universo,"Conocimiento de las capas de la Tierra, su composición y dinámica; movimientos “externos” del planeta; fenómenos naturales Incluye la noción de Sistema Solar; el conocimiento de los planetas y de la Luna.",,Describir los cuerpos que integran el Sistema Solar; movimiento de traslación de los planetas en torno al Sol. (6° grado),Sudamérica
ar,Argentina,,7.00,,12.00,1.00,G,Ciencias,Seres vivos,"Conocimiento sobre el ciclo de vida en los seres vivos, así como la noción de célula, particularmente, de su estructura y función en los seres vivos.",,El acercamiento a la noción de célula como unidad estructural y funcional desde la perspectiva de los niveles de organización de los seres vivos.,Sudamérica
ar,Argentina,20.00,25.00,14.00,13.00,1.00,A,Escritura,Coherencia y cohesión,"Características que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos lingüísticos para mantener las oraciones unidas (cohesión).","La escritura de textos no ficcionales con un propósito comunicativo determinado (…). Para todos los textos, supone mantener la idea expresada (…), emplear los conectores apropiados, ajustarse a la organización propia del texto e incluir el vocabulario aprendido que refiera al tema tratado, evitando repeticiones innecesarias (3° grado).","La escritura de textos en el marco de condiciones que permitan conjuntamente con el docente, sus pares y/o de manera individual, (…) revisar el texto, concentrándose selectivamente en algunos aspectos (organización de las ideas, desarrollo del/de los tema/s, respeto de la forma, empleo del vocabulario, organización de la oración, puntuación, ortografía, empleo de conectores) (…) (6° grado).",Sudamérica
ar,Argentina,40.00,25.00,27.00,30.00,1.00,B,Escritura,Conocimiento sobre el código,"Conocimiento del sistema alfabético, de grafemas (letras) y fonemas (sonidos). También considera aspectos caligráficos y ortográficos, y relaciones de significado, (sinónimos y antónimos).","La duda sobre la correcta escritura de palabras y el descubrimiento, el reconocimiento y la aplicación de algunas convenciones ortográficas propias del sistema (Ej: mb, nr) y reglas sin excepciones (Ej: -z à ces, -aba del pretérito imperfecto) y uso de mayúsculas (3°grado).","El conocimiento de reglas de acentuación, uso de letras y puntuación, y de la ortografía correspondiente al vocabulario de uso, lo que supone reconocer y emplear: tilde diacrítica (por ej., mi/mí, de/dé, si/sí, entre otros); tildación de los adverbios terminados en “mente”; algunas reglas ortográficas básicas, por ejemplo, las referidas a los afijos vinculados con el vocabulario especializado: hiper-, hipo-, hidro-, geo-, hema-, -logía, entre otros; algunos homófonos, (por ej. hecho/echo, raya/rallar, halla/haya, entre otros); signos de puntuación: coma para la aclaración y para la aposición; palabras de alta frecuencia de uso (por ej. las correspondientes al vocabulario especializado de las áreas curriculares, tales como ciudadanía, fotosíntesis, descripción, tecnología); mayúscula en tratamientos abreviados (por ej., Dr./Sr.) y en abreviaturas (6° grado).",Sudamérica
ar,Argentina,10.00,16.67,18.00,22.00,1.00,C,Escritura,Escritura Diversidad Textual,"Escritura de diversos tipos textuales, los que tienen diferentes propósitos comunicativos y formas de organizar la información según género (cuento, anécdota, comic, artículo, etc.)","La escritura asidua de diversos textos -narraciones que incluyan descripción de personajes o ambientes y diálogos, cartas personales y esquelas, notas de enciclopedia, etc.- que puedan ser comprendidos por ellos y por otros (…) (3° grado).","La escritura de textos no ficcionales con un propósito comunicativo determinado: narraciones, presentando las personas, respetando o alterando intencionalmente el orden cronológico (temporal), presentando causalidad de las acciones e incluyendo, si el texto elegido y la situación comunicativa lo requieren, diálogos y descripciones (…); exposiciones de más de tres párrafos que incluyan presentación del tema, desarrollo y cierre, ejemplos, comparaciones, definiciones (…); cartas formales con distintos propósitos y destinatarios, respetando el registro formal y utilizando las frases de apertura y cierre adecuadas al mismo (…) (6° grado).",Sudamérica
ar,Argentina,10.00,16.67,13.00,10.00,1.00,D,Escritura,Morfosintaxis,"Es lo que se entiende por gramática. Comprende la morfología, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexión. También considera la sintaxis: funciones que adquieren las palabras en una oración (sujeto, verbo, complementos).","El reconocimiento de sustantivos comunes (concretos) y propios, adjetivos (calificativos) y verbos de acción (3° grado).","La reflexión a través de la identificación, con ayuda del docente, de unidades y relaciones gramaticales (…) de los textos leídos y producidos en el año, lo que supone reconocer y emplear: (…) - sujeto expreso y sujeto tácito, y su uso según las circunstancias, para lograr la cohesión del texto o como recurso de estilo (…); - sustantivos, adjetivos, artículos, verbos, adverbios y pronombres personales en caso nominativo. Algunas variaciones morfológicas principales tales como género, número, tiempo, modos (indicativo e imperativo) y persona, y las relaciones de algunos de estos cambios con la funcionalidad del texto (…) (6° año grado)",Sudamérica
ar,Argentina,20.00,16.67,28.00,24.00,1.00,E,Escritura,Procesos involucrados en la escritura,"Procesos cognitivos involucrados en la producción escrita, como la planificación, textualización, revisión y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","La escritura asidua de diversos textos (…) en el marco de condiciones que permitan discutir y consensuar el propósito, idear el contenido con el maestro, redactar y releer borradores del texto (revisando su organización, la ortografía y la puntuación) y reformularlo conjuntamente a partir de las orientaciones del docente (3° grado).","La escritura de textos en el marco de condiciones que permitan conjuntamente con el docente, sus pares y/o de manera individual, planificar el texto en función de los parámetros de la situación comunicativa y del texto elegido y, de ser necesario, consultar material bibliográfico, vincular la información presente en los textos de consulta, seleccionando de cada uno lo relevante o distintivo, tomar notas jerarquizando la información e identificando las fuentes de consulta; redactar realizando por lo menos un borrador del texto previamente planificado; revisar el texto, concentrándose selectivamente en algunos aspectos (…). Reformular el escrito, conjuntamente con el docente, sus pares o en forma individual, a partir de las orientaciones del primero (6° grado).",Sudamérica
ar,Argentina,42.86,22.22,31.00,19.00,1.00,A,Lectura,Comprensión lectora literal e inferencial,"Identificación de información explícita en el texto (comprensión literal) e inferencias realizadas para identificar información sugerida, no explícita, en el texto (comprensión inferencial).",La comprensión de textos explicativos leídos en colaboración con el docente (3° grado).,"(…) relacionar los datos del texto con sus conocimientos; realizar inferencias; detectar la información relevante; establecer relaciones entre el texto, las ilustraciones y/o los esquemas que puedan acompañarlo; inferir el significado de las palabras desconocidas (…) (6° grado).",Sudamérica
ar,Argentina,14.29,11.11,8.00,4.00,1.00,B,Lectura,Decodificación,"Proceso de asociación entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras. Abarca conciencia fonológica, precisión, fluidez y prosodia.","El uso de signos de puntuación para la lectura y la escritura de textos: punto (y uso de mayúsculas después del punto), coma en enumeración y signos de interrogación y exclamación (3° grado).",(…) Leer con fluidez frente a un auditorio en situaciones que le den sentido a esta práctica (6° año).,Sudamérica
ar,Argentina,42.86,22.22,33.00,40.00,1.00,C,Lectura,Lectura Diversidad Textual,"Lectura de diversos tipos y géneros textuales. Estos tipos textuales y géneros tienen diferentes propósitos comunicativos y formas de organizar la información (cuento, anécdota, comic, artículo, opinión, etc.).","La lectura asidua de textos leídos por ellos (en silencio o en voz alta) o por el docente y otros adultos en voz alta (de manera habitual y sistemática): cuentos, fábulas, leyendas y otros textos narrativos literarios; poesías, coplas, adivinanzas, y otros géneros poéticos; y de textos no literarios como descubrimientos, historias de vida, descripciones de objetos, animales, personas, lugares y procesos, notas de enciclopedia sobre diferentes contenidos que se están estudiando o sobre temas de interés para los niños, entre otros (3° grado).","La lectura (comprensión y disfrute) de obras literarias de tradición oral (relatos, cuentos, mitos, fábulas, leyendas, parábolas, romances, coplas, entre otras) y de obras literarias de autor (novelas, cuentos, relatos, poesías, canciones, obras de teatro, entre otras) para (…) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las características del género al que pertenece (…) (6° grado).",Sudamérica
ar,Argentina,0.00,11.11,18.00,15.00,1.00,D,Lectura,Estrategias de lectura,"Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensión, de anticipación, o hipótesis acerca del contenido de un texto, etc.).",No hay ejemplos en el currículo de este país.,"(…) poner en juego, con la colaboración del docente, estrategias de lectura adecuadas a la clase de texto y al propósito de la lectura (…); reconocer procedimientos propios del texto leído y emplear diversas estrategias para recuperar posteriormente la información relevante de manera resumida según el propósito (…). Monitorear los propios procesos de comprensión, recuperando lo que se entiende e identificando y buscando mejorar la comprensión de lo que no se ha entendido, a través de preguntas al docente y la relectura (6° grado).",Sudamérica
ar,Argentina,0.00,33.33,11.00,22.00,1.00,E,Lectura,Reflexión y evaluación,"Reflexión, valoración y crítica del texto por parte del lector. Esto permite identificar el propósito comunicativo y puntos de vista del texto, evaluar la funcionalidad de sus elementos formular juicios sobre él a nivel de contenido y forma.",No hay ejemplos en el currículo de este país.,"(…) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las características del género al que pertenece, como también expresar las emociones y sentimientos que genera la obra y compartir significados con otros lectores (sus pares, el docente, otros adultos); formarse como lector de literatura (6° grado).",Sudamérica
ar,Argentina,5.90,3.40,11.00,12.00,1.00,A,Matemática,Estadística y probabilidad,"Lectura e interpretación de datos estadísticos a partir de su representación en tablas, gráficos, pictogramas y diagramas. Habilidad de organizar datos recolectados en tablas, gráficos, pictogramas y diagramas.",Elaborar preguntas o enunciados de problemas y registrar y organizar datos en tablas y gráficos sencillos a partir de distintas informaciones. (3° grado),"Interpretar y organizar información presentada en textos, tablas y distintos tipos de gráficos, incluyendo los estadísticos. (6° grado)",Sudamérica
ar,Argentina,23.50,27.60,20.00,25.00,1.00,B,Matemática,Geometría,"Conocimiento de las figuras y cuerpos geométricos, su caracterización, clasificación y construcción. Capacidad de establecer relaciones entre ellos y el entorno.","Figuras y Cuerpos geométricos: características, número de lados o vértices, la presencia de bordes curvos o rectos, la igualdad de la medida de sus lados, forma y número de caras. (3° grado)",Composición y descomposición de figuras geométricas. (6° grado),Sudamérica
ar,Argentina,11.80,17.20,19.00,16.00,1.00,C,Matemática,Magnitudes y medidas,"Conocimiento de distintas magnitudes, y de sus distintas unidades de medidas. Capacidad de realizar conversiones y de utilizarlas de acuerdo al contexto.Conocimiento y uso adecuado de distintos instrumentos de medición.","Unidades de medida de longitud, capacidades y pesos, de uso frecuente y medios y cuartos de esas unidades. (3° grado)",Unidades de medida: pertinencia. (6° grado),Sudamérica
ar,Argentina,58.80,48.30,45.00,42.00,1.00,D,Matemática,Número y operaciones,"Conocimiento de los conjuntos de los números naturales y de los números racionales positivos. Cálculo de las operaciones de adición, sustracción, multiplicación y división en esos conjuntos; aplicación de sus propiedades y relaciones.","Analizar el valor posicional en contextos significativos al leer, escribir, comparar números de una, dos, tres, cuatro y más cifras y al operar con ellos. (3° grado)",Analizar afirmaciones sobre las relaciones y propiedades que diferencian los números naturales de las fracciones y las expresiones decimales. (6° grado),Sudamérica
ar,Argentina,0.00,3.40,5.00,4.00,1.00,E,Matemática,Patrones y álgebra,"Capacidad de identificar, completar y construir regularidades numéricas y gráficas a partir de objetos del entorno, figuras geométricas y secuencias numéricas. Conocimiento para plantear y resolver ecuaciones simples de una variable.",No hay ejemplos en el currículo de este país.,"Analizar relaciones entre cantidades y números para determinar y describir regularidades, incluyendo el caso de la proporcionalidad. (6° grado)",Sudamérica
bo,Bolivia,,9.10,,16.00,1.00,A,Ciencias,"Ciencia, tecnología y sociedad","Refiere a la ciencia y la tecnología como construcciones humanas influenciadas por el contexto sociocultural, político y económico. Incluye temas relativos al impacto de la ciencia y la tecnología en la salud y en el medio ambiente.",,Alteraciones genéticas en la producción de plantas y animales: Alimentos transgénicos y sus consecuencias.,Sudamérica
bo,Bolivia,,39.40,,17.00,1.00,B,Ciencias,Cuerpo humano y salud,"Conocimiento parcial del cuerpo humano, y comprensión de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de órganos; conocimiento sobre la importancia de la salud para el bienestar general.",,"Trastornos y desequilibrios alimenticios: Desnutrición, obesidad, bulimia, anorexia.",Sudamérica
bo,Bolivia,,9.10,,14.00,1.00,C,Ciencias,Ecología y medioambiente,"Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecológico en relación con los recursos naturales y su importancia para la vida en el planeta, además de la noción de cadena trófica, su dinámica general y relevancia.",,Biodiversidad: recuperación y cuidado de especies en extinción.,Sudamérica
bo,Bolivia,,0.00,,12.00,1.00,D,Ciencias,La energía y sus manifestaciones,Conocimientos de la noción de energía. Incluye el calor como una transferencia de energía; manifestaciones de energía en el planeta; y la noción de fuerza.,,No hay ejemplos en el currículo de este país.,Sudamérica
bo,Bolivia,,0.00,,11.00,1.00,E,Ciencias,La materia y sus transformaciones,"Conocimientos de la estructura atómica y molecular y algunos estados de agregación.Clasificación de los materiales en sustancias puras o mezclas, y descripción de algunos métodos de separación.",,No hay ejemplos en el currículo de este país.,Sudamérica
bo,Bolivia,,33.30,,18.00,1.00,F,Ciencias,La tierra y el universo,"Conocimiento de las capas de la Tierra, su composición y dinámica; movimientos “externos” del planeta; fenómenos naturales Incluye la noción de Sistema Solar; el conocimiento de los planetas y de la Luna.",,"Líneas imaginarias del planeta Tierra: Posiciones astronómicas, meridiano, paralelas, latitudes, longitudes.",Sudamérica
bo,Bolivia,,9.10,,12.00,1.00,G,Ciencias,Seres vivos,"Conocimiento sobre el ciclo de vida en los seres vivos, así como la noción de célula, particularmente, de su estructura y función en los seres vivos.",,"Microcosmos: célula como unidad de vida, estructura y sus funciones biológicas.",Sudamérica
bo,Bolivia,0.00,0.00,14.00,13.00,1.00,A,Escritura,Coherencia y cohesión,"Características que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos lingüísticos para mantener las oraciones unidas (cohesión).",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.,Sudamérica
bo,Bolivia,15.00,21.05,27.00,30.00,1.00,B,Escritura,Conocimiento sobre el código,"Conocimiento del sistema alfabético, de grafemas (letras) y fonemas (sonidos). También considera aspectos caligráficos y ortográficos, y relaciones de significado, (sinónimos y antónimos).","Libreto sobre temática ambiental para títeres elaborado de manera colectiva (…). Construcción colectiva de libreto sobre temas de manejo equilibrado de los recursos de la naturaleza de la provincia identificando hiatos y diptongos, para la presentación de títeres o marionetas (3° grado).",Préstamos lingüísticos de la diversidad cultural en la expresión oral y escrita (6° grado).,Sudamérica
